name,twnumber,preferred_name,comments
PT-24,TW00099,86-29,
87-16_T,TW00100,87-16,
PT-25,TW00100,87-16,
86-05_V,TW00101,86-05,
PT-27,TW00101,86-05,
86-03_W,TW00102,86-03,
PT-28,TW00102,86-03,
86-04_X,TW00103,86-04,
PT-29,TW00103,86-04,
86-10_CC,TW00104,86-10,
PT-3,TW00104,86-10,
PT-3152,TW00105,PT-3152,
86-20_3(Z),TW00111,86-20,
PT-4,TW00111,86-20,
86-09_4(Y),TW00112,86-09,
PT-5,TW00112,86-09,
84-01_A,TW00113,84-01,
PT-6,TW00113,84-01,
85-06_B,TW00114,85-06,
PT-7,TW00114,85-06,
86-25_C,TW00115,86-25,
PT-8,TW00115,86-25,
86-24,TW00116,86-24,
PT-10,TW00116,86-24,
PT-86-24,TW00116,86-24,
87-22,TW00117,87-22,
PT-87-22,TW00117,87-22,
87-23,TW00118,87-23,
PT-87-23,TW00118,87-23,
14-II-46B,TW00119,14-II-46B,
PT-89-1,TW00119,14-II-46B,
133-II-42,TW00120,133-II-42,
PT-89-10,TW00120,133-II-42,
138-II-10,TW00121,138-II-10,
PT-89-12,TW00121,138-II-10,
226-1,TW00122,226-1,
PT-89-13,TW00122,226-1,
227-35,TW00123,227-35,
PT-89-14,TW00123,227-35,
436+4,TW00124,436+4,
PT-89-15,TW00124,436+4,
24-35,TW00125,24-35,
PT-89-2,TW00125,24-35,
68-II-38,TW00128,68-II-38,
PT-89-5,TW00128,68-II-38,
99-II-35,TW00131,99-II-35,
PT-89-8,TW00131,99-II-35,
184-83,TW00174,DEC6E,
DEC6E,TW00174,DEC6E,
2087-77,TW00177,DEC2E,"bundlin study"
DEC2E,TW00177,DEC2E,
2394-80,TW00180,DEC15E,
DEC15E,TW00180,DEC15E,
2708-78,TW00182,DEC15D,
DEC15D,TW00182,DEC15D,
2966-56,TW00185,DEC12B,
DEC12B,TW00185,DEC12B,"bundlin study"
3030A-86dup,TW00186,DEC8B,
DEC8B,TW00186,DEC8B,
3291-86,TW00190,DEC12E,
DEC12E,TW00190,DEC12E,
5513-56,TW00197,DEC2B,"bundlin study"
DEC2B,TW00197,DEC2B,
9033-80,TW00200,9033-80,
9101-83,TW00206,DEC12D,
DEC12D,TW00206,DEC12D,
820691,TW00248,DEC7C,
DEC7C,TW00248,DEC7C,
821075,TW00258,821075,
1639-78,TW00264,1639-78,
3004-86,TW00276,3004-86,
1262M4,TW00296,1262M4,
AC-C66,TW00296,1262M4,
30964,TW00298,30964,
AC-C68,TW00298,30964,
1610MS1,TW00311,1610MS1,
86/24,TW00116,86-24,
78-92,TW05608,78/92,
E2340-78,TW00051,2430-78,
F-41,TW05729,F41,
3787-62,TW00460,DEC2a,"MLST-1 bundlin study"
2254-75,TW00664,DEC11a,"MLST-1 bundlin study"
F1-50,TW01277,DEC12a,"MLST-1 bundlin study"
B170,TW01120,DEC12f,"MLST-1 bundlin study"
536,TW07504,536,MLST-1
870631,TW00012,D87-6627-3,
D87-6627-3,TW00012,D87-6627-3,
88-0488,TW00021,D87-24061,
D87-24061,TW00021,D87-24061,
87-25045-2,TW00022,87-25045-2,
88-0490,TW00022,87-25045-2,
88-0491,TW00023,D87-25181,
D87-25181,TW00023,D87-25181,
88-0493,TW00025,88-1577,
88-1577,TW00025,88-1577,
88-0495,TW00027,88-2229,
88-2229,TW00027,88-2229,
88-0497,TW00029,88-2278,
88-2278,TW00029,88-2278,
88-0498,TW00030,88-1430,
88-1430,TW00030,88-1430,
88-0499,TW00031,88-1551-S,
88-1551-S,TW00031,88-1551-S,
88-0500,TW00032,88-2437,
88-2437,TW00032,88-2437,
88-0502,TW00033,88-4110-nh,
88-4110-nh,TW00033,88-4110-nh,
2198-77,TW00046,DEC8A,
DEC8A,TW00046,DEC8A,
2277-67,TW00047,DEC6C,
DEC6C,TW00047,DEC6C,
2660-77,TW00055,DEC15C,
DEC15C,TW00055,DEC15C,
3942-67,TW00063,DEC12C,
DEC12C,TW00063,DEC12C,
448-71,TW00065,DEC15B,
DEC15B,TW00065,DEC15B,
5338-66,TW00073,DEC6A,MLST-4
DEC6A,TW00073,DEC6A,
5430-66,TW00074,DEC15A,
DEC15A,TW00074,DEC15A,
87-01_AA,TW00084,87-01,
PT-1,TW00084,87-01,
87-18_G,TW00086,87-18,
PT-12,TW00086,87-18,
85-01_H,TW00087,85-01,
PT-13,TW00087,85-01,
85-08_I,TW00088,85-08,
PT-14,TW00088,85-08,
86-06_J,TW00089,86-06,
PT-15,TW00089,86-06,
86-13_K,TW00090,86-13,
PT-16,TW00090,86-13,
86-18_L,TW00091,86-18,
PT-17,TW00091,86-18,
87-05_M,TW00092,87-05,
PT-18,TW00092,87-05,
87-17_BB,TW00094,87-17,
PT-2,TW00094,87-17,
85-03_O,TW00095,85-03,
PT-20,TW00095,85-03,
86-01_P,TW00096,86-01,
PT-21,TW00096,86-01,
86-02_Q,TW00097,86-02,
PT-22,TW00097,86-02,
86-15_R,TW00098,86-15,
PT-23,TW00098,86-15,
86-29_S,TW00099,86-29,
AC-S,TW00311,1610MS1,
88-0503,TW00338,88-0503,
D88-6882,TW00338,88-0503,
831015,TW00356,DEC7D,
DEC7D,TW00356,DEC7D,
861575,TW00387,DEC7E,
DEC7E,TW00387,DEC7E,
29315,TW00389,29315,
AC-C12,TW00389,29315,
AC-C21,TW00398,DEC1E,"bundlin study"
DEC1E,TW00398,DEC1E,
29148,TW00401,29148,
AC-C25,TW00401,29148,
1010T6,TW00407,1010T6,
AC-C33,TW00407,1010T6,
1010T9,TW00408,1010T9,
AC-C34,TW00408,1010T9,
1488T1,TW00419,1488T1,
AC-C50,TW00419,1488T1,"bundlin study"
88-0501,TW00516,88-4110-H,
88-4110-H,TW00516,88-4110-H,
5624-50,TW00587,DEC5A,
DEC5A,TW00587,DEC5A,
607-54,TW00591,DEC2C,"bundlin study"
DEC2C,TW00591,DEC2C,
M504,TW00591,DEC2C,
750001,TW00601,DEC7A,
DEC7A,TW00601,DEC7A,
1791-79,TW00659,DEC14D,
DEC14D,TW00659,DEC14D,
3350-73,TW00676,DEC13A,
DEC13A,TW00676,DEC13A,
3435-72,TW00677,3435-72,
3733-71,TW00680,DEC11B,"bundlin study"
DEC11B,TW00680,DEC11B,
5024-71,TW00691,DEC13B,
DEC13B,TW00691,DEC13B,
1011-84,TW00838,1011-84,
1326-84,TW00839,1326-84,
161-84,TW00840,161-84,
1923-82,TW00841,1923-82,
3016-85,TW00843,3016-85,
3100-85,TW00844,3100-85,
3123-85,TW00845,3123-85,
3148-85,TW00846,3148-85,
3199-85,TW00847,3199-85,
3205-85,TW00848,3205-85,
3230-85,TW00849,3230-85,
3299-85,TW00850,DEC3A,
DEC3A,TW00850,DEC3A,
3309-85,TW00851,3309-85,
3324-85,TW00852,3324-85,
3344-85,TW00853,3344-85,
3354-85,TW00854,3354-85,
3369-85,TW00855,3369-85,
3370-85,TW00856,3370-85,
3398-85,TW00857,3398-85,
3404-85A,TW00858,3404-85A,
3405-85A,TW00859,3405-85A,
3406-85,TW00860,3406-85,
3444-85,TW00861,3444-85,
3460-85,TW00862,3460-85,
3502-85A,TW00863,3502-85A,
A7793-B1,TW00864,A7793-B1,
A7795-C2,TW00865,A7795-C2,
A7818,TW00866,A7818,
A8184-M3,TW00867,A8184-M3,
AOB-35,TW00867,A8184-M3,
A8187-M8,TW00868,A8187-M8,
A8188-B3,TW00869,A8188-B3,
A8189-M1,TW00870,A8189-M1,
A8190-M8,TW00871,A8190-M8,
A8362-C1,TW00872,A8362-C1,
A8469,TW00873,A8469,
A9047-CS1,TW00874,A9047-CS1,
AOB-29,TW00874,A9047-CS1,
A9124-1,TW00875,A9124-1,
A9167-1,TW00876,A9167-1,
AOB-5,TW00876,A9167-1,
A9218-C2,TW00877,A9218-C2,
A9686-3,TW00878,A9686-3,
